query,docid,name,description,agent_1_rating,agent_2_rating,agent_3_rating,final_rating
bluetooth speaker,1710197,2730p,"Intel Core 2 Duo LV SL9400 (1.86GHz, 6MB L2, 1066MHz), 12.1"" WXGA, 1x 2GB DDR2 SDRAM, 120GB 5400 rpm SATA, Intel GMA X4500 HD, 56k Modem, 802.11a/b/g/n, Bluetooth, Camera, Windows Vista Business 32",0,0,0,0
bluetooth speaker,3696065,ProBook 5310m Notebook PC,"Intel Celeron SU2300 (1.2GHz, 1MB L2, 800MHz), 13.3"" LED HD BrightView (1366 x 768), 1 x 2048MB DDR3 SDRAM, 250GB SATA 7200 rpm, Intel GMA 4500MHD, Broadcom 802.11b/g, Bluetooth 2.1, 2MP webcam, 2-in-1, Windows 7 Home Premium 32-bits",0,0,0,0
bluetooth speaker,2058831,6930p,HP EliteBook 6930p Notebook PC,0,0,0,0
bluetooth speaker,2170998,EliteBook 2530p Notebook PC (ENERGY STAR),"Intel Core 2 Duo SL9600 (2.13GHz, 6MB L2, 1066MHz), 12.1"" (1280 x 800) WXGA, 1 x 2048MB DDR2, 160GB SATA 5400 rpm, DVD±RW SuperMulti DL, Intel GMA X4500 HD, 56k modem, WLAN 802.11a/b/g/n, Bluetooth 2.0+, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,1350917,6910p,"Compaq 6910p Business notebook pc - Intel® Core™2 Duo T7300 2.0GHz / 1024MB / 80GB / 14.1"" WXGA TFT / Dvd±rw SuperMulti (DL) / Bluetooth / Intel® WLAN 802.11a/b/g MOW2 / Vista® Business",0,0,0,0
bluetooth speaker,2053354,6730b,"Intel Core 2 Duo P8400 (2.26GHz, 3MB L2, 1066MHz), 15.4"" 1280 x 800 WXGA, 1 x 2048MB DDR2, 160GB 5400 rpm, LightScribe DVD+/-RW SuperMulti DL, Intel GMA 4500MHD, Intel 802.11a/b/g/draft-n, Bluetooth, 56K modem, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,1240679,6910p,"Compaq 6910p Business notebook pc - Intel® Core™2 Duo T7300 2.0GHz / 1024MB / 80GB / 14.1"" WXGA TFT / Dvd/cd-rw combo / Bluetooth / Intel® WLAN 802.11a/b/g MOW2 / Vista® Business",0,0,0,0
bluetooth speaker,1794225,6930p,"Intel Core 2 Duo P8600 (2.4GHz, 3MB, 1066MHz), 14.1"" WXGA (1280 x 800), 1 x 2048MB DDR2 SDRAM, 160GB (5400 rpm), DVD+/-RW SuperMulti DL, ATI Mobility Radeon HD 3450, 56K modem, WLAN 802.11 a/b/g/n; Bluetooth 2.0, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,1960604,Compaq 6730b Notebook PC,"Intel Core 2 Duo P8600 (2.40GHz, 3MB L2, 1066MHz), 15.4"" 1280 x 800 WXGA, 1 x 2048MB DDR2, 250GB SATA 5400 rpm, LightScribe DVD±RW SuperMulti DL, Intel GMA 4500MHD, 56K modem, Intel 802.11a/b/g/draft-n, Bluetooth, camera, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,1576193,"Compaq 8710p Intel Core™2 Duo Processor T8300 2048M/250G 17"" WXGA+ DVD+/-RW DL WVST Bus Notebook PC","8710p, Intel Core 2 Duo T8300 (2.40 GHz, 3 MB L2, 800 MHz), 17"" WXGA+ (1440 x 900), 1 x 2048 MB DDR2, 250 GB (5400 rpm), DVD+/-RW DL SuperMulti LightScribe, NVIDIA Quadro NVS 320M 256 MB, WLAN 802.11a/b/g/n, Bluetooth, Windows Vista Business",0,0,0,0
bluetooth speaker,2977787,6930p,"Intel Core 2 Duo T9550 (2.66GHz, 6MB, 1066MHz), 14.1"" WXGA+ (1440 x 900), 2 x 2048MB DDR2, 250GB SATA 7200 rpm, ATI Mobility Radeon HD 3450, Intel 802.11a/b/g/draft-n, Bluetooth 2.0, camera, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,3334324,EliteBook 8530p Notebook PC (ENERGY STAR),"Intel Core 2 Duo T9600 (2.8GHz, 6MB L2, 1066MHz), 15.4"" (1680 x 1050) WSXGA+ WVA, 2 x 2048MB DDR2, 250GB SATA 7200 rpm, DVD±RW SuperMulti DL LightScribe, ATI Mobility Radeon HD 3650, 56k modem, WLAN 802.11a/b/g/draft-n, Bluetooth 2.0, 6-in-1, camera, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,3542361,Mini 2140 Notebook PC,"Intel Atom N270 (1.60GHz, 512KB L2, 533MHz), 10.1"" TFT WXGA, 160GB 5400 rpm, 1 x 2048 MB DDR2, Intel GMA 950, Broadcom 802.11a/b/g, Bluetooth, Windows Vista Home Basic 32-bit",0,0,0,0
bluetooth speaker,2047224,EliteBook 2730p,"Intel Core 2 Duo SL9400 (1.86GHz, 6MB L2, 1066MHz), 12.1"" (1280 x 800) WXGA, 1 x 2048MB DDR2, 120GB SATA 5400 rpm, Intel GMA X4500 HD, Intel 802.11a/b/g/n, Bluetooth, Windows Vista Business 32-bit",0,0,0,0
bluetooth speaker,1710195,EliteBook 2530p Notebook PC,"Intel Core 2 Duo LV SL9400 (1.86GHz, 6MB L2, 1066MHz), 12.1"" WXGA, 1x 2GB DDR2 SDRAM, 120GB 5400 rpm SATA, DVD+/-RW SuperMulti, Intel GMA X4500 HD, 56k Modem, 802.11a/b/g/n, Bluetooth, WWAN, Windows Vista Business 32",0,0,0,0
bluetooth speaker,3521171,Mini 5101,"Intel Atom N280 (1.66GHz, 512KB L2, 667MHz), 10.1"" LED HD (1366 x 768), 1 x 1024MB DDR2 SDRAM, 160GB SATA 7200 rpm, Broadcom 802.11a/b/g/draft-n, Bluetooth 2.1, 2MP webcam, Windows XP Home Edition",0,0,0,0
surround sound speakers,478578,SPA2600/00,SPA2600 Multi-media Speaker 5.1,2,2,3,3
surround sound speakers,130423,"50"" Pixel Plus 2 Flat TV",50PF9966 50inch Plasma high definition flat TV Widescreen plus Virtual Dolby Surround,0,0,0,0
surround sound speakers,356862,MCD510  DVD Micro Theater,"DVD, MP3-CD and WMA-CD playback",0,2,2,0
phone case,3842754,Silicone case DLM69012/17,"Silicone case, for iPhone 3G & 3GS, Silicone, Pink",3,3,3,3
phone case,3428606,CL502,GSM pouch Executive Leather,3,3,3,3
phone case,3430648,CL702,GSM pouch CEO Leather,3,3,3,3
phone case,3429708,CL504,GSM pouch Executive Leather Smartphone,3,3,3,3
phone case,3428483,CL703,GSM pouch CEO Leather,3,3,3,3
phone case,77500157,EF-EA715,,3,3,3,3
phone case,77522648,Presidio Clear,,3,3,3,3
phone case,3924024,Hard-shell case DLM1305/17,,3,3,3,3
phone case,77145616,51992767,,3,3,3,3
phone case,77941157,EF-KG985,,3,3,3,3
phone case,77143743,EF-QA207TTEGWW,,3,3,3,3
phone case,77941190,EF-ZG980,,3,3,3,3
phone case,77669843,EF-NG985,,3,3,3,3
phone case,77941197,EF-QG985,,3,3,3,3
phone case,77941209,EF-ZG980,,3,3,3,3
phone case,77657416,EF-NG980,,3,3,3,3
phone case,77941207,EF-ZG980,,3,3,3,3
phone case,77944553,EF-NG985,,3,3,3,3
phone case,77500156,EF-EG770,,3,3,3,3
phone case,77669560,EF-NG988,,3,3,3,3
phone case,3924007,Hard-shell case DLM1306/17,,3,3,3,3
phone case,77941161,EF-KG988,,3,3,3,3
phone case,77500858,EF-PG770,,3,3,3,3
phone case,77941170,EF-VG988,,3,3,3,3
phone case,77657686,EF-VG988,,3,3,3,3
phone case,77667488,EF-XG985,,3,3,3,3
phone case,78709240,33905,,3,3,2,3
phone case,77499989,EF-EA515,,3,3,3,3
phone case,77500058,EF-EA715,,3,3,3,3
phone case,79524877,51993799,,3,3,3,3
phone case,77941218,EF-PG980,,3,3,3,3
phone case,77455633,EF-PA515TLEGEU,,3,3,3,3
phone case,77455632,EF-PA515TBEGEU,,3,3,3,3
phone case,77657600,EF-PG980,,3,3,3,3
phone case,77944554,EF-PG980,,3,3,3,3
phone case,77941217,EF-RG988,,3,3,3,3
phone case,79524888,ClearCase iPhone XR,,3,3,3,3
phone case,2394938,PixelSkin,,3,3,3,3
phone case,77657559,EF-PG988,,3,3,3,3
phone case,78709216,30844,,3,3,3,3
garmin,1723896,"3.5"" GPS Case",,0,0,0,0
gps watch,77382335,Galaxy Watch Active2,,3,3,3,3
gps watch,79550421,Galaxy Watch Active2,,3,3,3,3
gps watch,78586548,Watch GT 2e,,3,3,3,3
gps watch,78586712,Watch GT 2e,,3,3,3,3
gps watch,78712152,Watch GT 2e,,3,3,0,3
gps watch,78586644,Watch GT 2e,,3,3,3,3
gps watch,79547855,Galaxy Watch Active,,3,3,3,3
gps watch,79550429,Galaxy Watch Active2,,3,3,3,3
gps watch,77382280,Galaxy Watch Active2,,3,3,3,3
gps watch,77773285,Galaxy Watch Active 2,,3,3,3,3
flat screen tv,2054249,flat screen wall mount,,0,0,0,0
flat screen tv,94305,flat screen wall mount,,0,0,0,0
flat screen tv,94328,flat screen wall mount,,0,0,0,0
flat screen tv,94281,flat screen desk mount,,0,0,0,0
flat screen tv,1621237,flat screen desk mount,,0,0,0,0
flat screen tv,94329,flat screen desk mount,,0,0,0,0
flat screen tv,94308,flat screen desk mount,,0,0,0,0
flat screen tv,94327,flat screen desk mount,,0,0,0,0
flat screen tv,463092,medical flat screen wall mount,,0,0,0,0
flat screen tv,2157715,EFF 8340 Flat Screen TV floorstand (black),,0,0,0,0
flat screen tv,869707,flat screen wall mount,,0,0,0,0
flat screen tv,164408,flat screen wall mount,,0,0,0,0
flat screen tv,94284,flat screen wall mount,,0,0,0,0
flat screen tv,114065,flat screen wall mount,,0,0,0,0
flat screen tv,876256,flat screen wall mount,,0,0,0,0
flat screen tv,3554480,flat screen ceiling mount,,0,0,0,0
flat screen tv,338992,flat screen wall mount,,0,0,0,0
flat screen tv,463091,flat screen ceiling mount,,0,0,0,0
flat screen tv,457240,flat screen wall mount,,0,0,0,0
flat screen tv,266107,flat screen ceiling mount,,0,0,0,0
flat screen tv,94367,flat screen wall mount,,0,0,0,0
flat screen tv,1610360,flat screen wall mount,,0,0,0,0
flat screen tv,551048,flat screen ceiling mount,,0,0,0,0
flat screen tv,3554481,flat screen ceiling mount,,0,0,0,0
flat screen tv,1377220,flat screen wall mount,,0,0,0,0
flat screen tv,4141301,flat screen ceiling mount,,0,0,0,0
flat screen tv,4141300,flat screen ceiling mount,,0,0,0,0
flat screen tv,457347,flat screen wall mount,,0,0,0,0
flat screen tv,3591045,flat screen floor stand,,0,0,0,0
flat screen tv,1315463,flat screen floor stand,,0,0,0,0
flat screen tv,894578,flat screen floor stand,,0,0,0,0
flat screen tv,338895,flat screen wall mount,,0,0,0,0
flat screen tv,360193,flat screen wall mount,,0,0,0,0
flat screen tv,94343,flat screen wall mount,,0,0,0,0
flat screen tv,869728,flat screen wall mount,,0,0,0,0
flat screen tv,894580,flat screen wall mount,,0,0,0,0
flat screen tv,894579,flat screen wall mount,,0,0,0,0
flat screen tv,94279,flat screen wall mount,,0,0,0,0
flat screen tv,338956,flat screen wall mount,,0,0,0,0
flat screen tv,94307,flat screen wall mount,,0,0,0,0
nintendo,77487293,Switch Pack III,,3,2,3,3
nintendo,78332962,NNS57,,3,3,3,3
nintendo,3932626,My Sims Case EAMS801,,3,0,3,0
nintendo,77192151,AW510H,,0,0,0,0
nintendo,77192150,AW510H,,0,0,0,0
xbox,77388652,The Unicorn Princess,,3,2,2,2
xbox,1128752,Composite and S-Video to VGA Video Converter for Computer Monitors,,0,0,0,0
xbox,77192150,AW510H,,0,0,0,0
xbox,77192151,AW510H,,0,0,0,0
computer,1645837,Smartfit® Single Monitor Arm,,0,0,0,0
computer,1596052,SmartFit® Monitor & Laptop Mounting Arm,,0,0,0,0
computer,2152150,Z800 PCI Front Fan Kit,,0,0,0,0
computer,77524118,AMM168GLX,,0,0,0,0
computer,80033,SmartFit® TFT Stand Graphite,,0,0,0,0
computer,799535,StarTech.com 80x25mm Ever Lubricate Bearing PC Computer Case Fan w/ LP4 Ever Lubricate Bearing PC Case Fan - Case fan - 80 mm,,0,0,0,0
computer,523407,6 ft Standard Computer Power Cord Extension - C14 to C13,,0,0,0,0
computer,1642362,Replacement 70mm TX3 Dual Ball Bearing CPU Cooler Fan,,0,0,0,0
computer,124997,FA350A,,0,0,0,0
computer,2702723,SickleFlow 120,,0,0,0,0
computer,3637824,Blade Master 120,,0,0,0,0
computer,1601528,SmartFit™ Spin Station,,0,0,0,0
computer,797865,FA845AA,,0,0,0,0
computer,3637972,Blade Master 80mm,,0,0,0,0
computer,1596054,SmartFit® Extended Monitor Arm,,0,0,0,0
computer,635058,FA766AA,,0,0,0,0
computer,1231865,FA920AA,,0,0,0,0
computer,560475,92x25mm Dual Ball Bearing Computer Case Fan w/ LP4 Connector,,0,0,0,0
computer,560468,40x10mm Replacement Dual Ball Bearing Computer Case Fan w/ LP4,,0,0,0,0
computer,693954,60x25mm High Air Flow Dual Ball Bearing Computer Case Fan w/ TX3,,0,0,0,0
computer,643027,80x25mm Dual Ball Bearing Computer Case Fan w/ TX3 Connector,,0,0,1,0
computer,1659388,Computer Repair Tool Kit,,0,0,0,0
computer,558751,Silent Fan 120 SI1,,0,0,0,0
computer,1907230,"Fluid Cooler 57MBH@20TD, 10GPM, 8 Feeds, 400/3/50",,0,0,0,0
computer,2235620,21pc Computer Tool Kit,,0,0,0,0
computer,680527,90x25mm High Air Flow Dual Ball Bearing Computer Case Fan w/ TX3,,0,0,0,0
computer,560471,60x10mm Replacement Ball Bearing Computer Case Fan w/ TX3 Connector,,0,0,0,0
computer,693959,120x25mm Dual Ball Bearing Computer Case Fan w/ LP4 Connector,,0,0,0,0
computer,325926,FA662A,,0,0,0,0
computer,1231771,FA995AA,,0,0,0,0
computer,532095,80x25mm Dual Ball Bearing Computer Case Fan w/ LP4 Connector,,0,0,0,0
computer,3432453,MegaFlow 200,,0,0,0,0
computer,3432447,MegaFlow 200,,0,0,0,0
computer,165389,PF400XL Privacy Computer Filter,,0,0,2,0
computer,1946149,Micro-Adjustable Fixed Wall Mount,,0,0,0,0
computer,2245785,11pc Computer Tool Kit,,0,0,0,0
computer,1907231,ACFC75256,,0,0,0,0
computer,77384911,SD6000,,0,0,0,0
computer,3540371,F8 Pro - Case Fan with Vibration Absorption,,0,0,0,0
computer,1971842,F9 Pro - Case Fan with Vibration Absorption,,0,0,0,0
nintendo switch,77487293,Switch Pack III,,0,3,0,3
nintendo switch,78332962,NNS57,,0,0,0,0
nintendo switch,77192151,AW510H,,0,0,0,0
nintendo switch,77192150,AW510H,,0,0,0,0
switch,458655,SwitchView MM1/MM2 9 foot PS/2 USB,,0,3,0,0
switch,458647,SwitchView DVI 9 foot DVI USB,,0,3,0,0
switch,77487293,Switch Pack III,,3,3,3,3
switch,78332962,NNS57,,0,0,0,0
switch,1679331,4 Port VGA Video Audio Switch with RS232 control,,3,0,3,3
switch,1948453,2 Port USB VGA Cable KVM Switch with Audio,,0,3,0,0
switch,1948452,2 Port USB DVI Cable KVM Switch with Audio,,0,3,0,0
switch,4195377,2 Port VGA Auto Switch,,3,0,0,3
switch,136440,RS-60E3,,0,0,3,0
switch,515655,4 Port Black PS/2 KVM Switch Kit with Cables,,3,0,3,0
switch,886543,4 Port Black USB KVM Switch Kit with Cables and Audio,,3,3,0,3
switch,1754,ProCurve 2512 Switch,,3,3,3,3
switch,1575,ProCurve 2524 Switch,,3,3,3,3
switch,2133201,2-1 HD15 VGA Manual Switch Box,,3,3,3,3
switch,3882243,AT-FS724L-50,,3,3,0,3
switch,1401755,AXXSW1GB,,3,3,0,3
switch,3527172,"Numeric Keypad, Wired, USB, Windows or Mac, 18 full size keys, Black",,0,0,0,0
switch,3045,Door Switch Kit,,3,3,0,3
switch,635214,AutoView 1515 KVM Switch,,3,3,0,3
switch,1775823,Pro Flight Switch Panel,,3,3,0,3
switch,1261815,Front Panel Switch Cable,,3,3,0,3
switch,2126847,High Isolation AB Switch,,3,3,0,3
switch,785000,AT-FS708-50,,3,3,0,3
switch,1129020,2x4 High Resolution Matrix VGA Video Switch,,3,3,0,3
switch,111592,RS-80N3,,0,3,0,3
switch,3849582,2 Port Dual DVI USB KVM Switch with Audio & USB 2.0 Hub,,3,3,0,3
switch,98429,SBP16KRMI4U,,0,0,0,0
switch,52083,ProCurve Routing Switch 9315M,,3,3,0,3
switch,1644844,16-Port Gigabit Switch,,3,3,0,3
switch,636411,AT-FS708/POE Unmanaged Switch,,3,3,0,3
switch,1515629,8-Port KVM Switch Module,,3,3,0,3
switch,1668462,4-Port Desktop KVM Switch,,3,3,0,3
switch,3089481,SV5CONS,,3,3,0,3
switch,1644843,24-Port Gigabit Switch,,3,3,0,3
switch,3882200,AT-FS708LE-50,,3,3,0,3
switch,78840687,cac-1630,,3,3,0,3
switch,3449712,GS608-300PES,,3,3,0,3
switch,4610255,GSM7228PS-100EUS,,3,3,0,3
switch,1354812,MFCMM,,3,3,0,3
switch,1578796,AP5602,,3,3,0,3
laptop bag,1751314,10 - 12.1 inch / 25.4 - 30.7cm Laptop Case – XS,,3,3,2,3
laptop bag,3149234,"Mission Laptop Bag 15.6"" Black",,3,3,3,3
laptop bag,3149204,"Modulo2 Laptop Bag 17.3"" Black",,3,3,3,3
laptop bag,4209420,"Mission Toploading Laptop Bag 15.6""",,3,3,3,3
laptop bag,4548269,"London Laptop Bag 15.6"", Top Loader, Accessories Pocket, Black",,3,3,3,3
laptop bag,4567982,Modulo 3,,3,3,3,3
laptop bag,4509231,"Modulo8 Laptop Bag 17.3""/18.4"" Black",,3,3,3,3
laptop bag,3662408,"Urban Ultra Laptop Bag 10.2"" Pink",,3,3,3,3
laptop bag,4548172,"Empire Laptop Bag 17.3"", Clamshell design, Accessories Pocket, Black",,3,3,3,3
gaming mouse,1929829,Voodoo Laser Gaming Mouse,,3,3,3,3
gaming mouse,4706452,M8000X,,3,3,3,3
gaming mouse,3660920,GM-M6800,,3,3,3,3
gaming mouse,77195849,Ultra,,3,0,0,0
gaming mouse,77195848,PULSEFIRE RAID GAMING MOUSE,,3,3,3,3
gaming mouse,78801931,Lorcan Ergo,,2,2,3,2
gaming mouse,77476957,Pro Shroud,,0,3,0,0
gaming mouse,77192163,AW310M,,2,3,3,3
gaming mouse,77192154,AW510M,,2,3,3,3
gaming mouse,4703509,Wireless Laser Mouse Pro,,3,3,3,3
gaming mouse,77192161,AW610M,,2,3,3,3
gaming mouse,77192162,AW610M,,2,3,3,3
gaming keyboard,77192158,AW510K,,2,3,3,3
gaming keyboard,77192157,AW510K,,2,3,3,3
gaming keyboard,77192160,AW310K,,2,3,3,3
gaming keyboard,77023781,Devastator 3 Plus,,3,3,3,3
headphones,620649,HeadPhone,,3,3,3,3
headphones,788255,HiFi Stereo Headphone,,3,3,3,3
headphones,4144170,Lightweight Headphones SHL1602/10,,3,3,3,3
headphones,3961635,SHQ3000/10,,3,3,2,3
headphones,1954005,Multimedia Headphones,,3,3,3,3
headphones,711306,SBCHL140  Lightweight Headphones,,3,3,3,3
headphones,4144246,Lightweight Headphones SHL1601/10,,3,3,3,3
headphones,3965621,Neckband Headphones SHS390/10,,3,3,3,3
headphones,3961684,Lightweight Headphones SBCHL145/10,,3,3,3,3
headphones,463770,SHP2000,,3,3,3,3
headphones,2006079,SHJ070/00,,3,3,3,3
headphones,3961632,SHE3581  In-Ear Headphones,,3,3,3,3
headphones,4006114,SHE9550  In-Ear Headphones,,3,3,3,3
headphones,1715508,SHE9503  In-Ear Headphones,,3,3,3,3
headphones,3997951,SHE2550  In-Ear Headphones,,3,3,3,3
headphones,463772,SHS3200  Earhook Headphones,,3,3,3,3
headphones,474731,In-Ear Headphones SHE7750/00,,3,3,3,3
headphones,302412,HiFi Stereo Headphone SBC-HP430,,3,3,3,3
headphones,730102,SHE3600/00,,3,3,3,3
headphones,1348452,Full Size Headphone HA G101,,3,3,3,3
headphones,1575934,Ear Bud Headphone,,3,3,3,3
headphones,4006109,Earhook Headphones SHS8100/98,,3,3,3,3
headphones,302039,Indoor Headphones SBCHP200,,3,3,3,3
headphones,1004745,Noise Cancelling Headphones,,3,3,3,3
headphones,474729,SHE2650  In-Ear Headphones,,3,3,3,3
headphones,1232629,SHD9100  Digital Wireless Headphone,,3,3,2,3
headphones,474727,SHE2550/00,,3,3,2,3
headphones,3537426,HA-RX900,,3,3,2,3
headphones,840072,SHE2611/00,,3,3,2,3
headphones,3537171,HA-RX700,,3,3,2,3
headphones,4002977,In-Ear Headphones SHE2550/98,,3,3,2,3
headphones,3961655,In-Ear Headphones SHE3585/28,,3,3,2,3
headphones,302003,Headband headphones SBCHP400/10,,3,3,2,3
headphones,3965623,Ear clip headphones SHS4700/10,,3,3,2,3
headphones,296137,PlayGear Mod,,3,3,3,3
headphones,3954020,SHD8600/10,,3,3,2,3
headphones,325774,SHE9500/00,,3,3,3,3
headphones,474739,SHP2500/00,,3,3,2,3
headphones,301889,SBCHN060  Noise Canceling Headphone,,3,3,2,3
headphones,302706,SBCHP1000  HiFi Stereo Headphones,,3,3,2,3
headset,3422937,Stereo Headset,,3,3,2,3
headset,3425258,Premium Stereo Headset,,3,3,2,3
